,,BTC
,close,daily_return
time,,
2013-04-29,141.96,0.049223947
2013-04-30,135.3,-0.046914624
2013-05-01,117,-0.135254989
2013-05-02,103.43,-0.115982906
2013-05-03,91.01,-0.120081214
2013-05-04,111.25,0.222393144
2013-05-05,116.79,0.049797753
2013-05-06,118.33,0.01318606
2013-05-07,106.4,-0.100819741
2013-05-08,112.64,0.058646617
2013-05-09,113,0.003196023
2013-05-10,118.78,0.051150442
2013-05-11,113.01,-0.048577202
2013-05-12,114.71,0.015042917
2013-05-13,117.18,0.02153256
2013-05-14,114.5,-0.022870797
2013-05-15,114.16,-0.002969432
2013-05-16,115.5,0.011737912
2013-05-17,123.1,0.065800866
2013-05-18,123.88,0.006336312
2013-05-19,120.5,-0.027284469
2013-05-20,122.58,0.017261411
2013-05-21,122.9,0.00261054
2013-05-22,123,0.00081367
2013-05-23,125.75,0.022357724
2013-05-24,131.7,0.047316103
2013-05-25,130.77,-0.007061503
2013-05-26,134.6,0.029288063
2013-05-27,128.99,-0.041679049
2013-05-28,129.18,0.001472982
2013-05-29,132.13,0.022836352
2013-05-30,127.4,-0.035798078
2013-05-31,127.98,0.00455259
2013-06-01,129.09,0.00867323
2013-06-02,121.3,-0.060345495
2013-06-03,121.16,-0.001154163
2013-06-05,121.31,0.001238032
2013-06-06,121.71,0.003297337
2013-06-07,119,-0.022266042
2013-06-08,110.09,-0.07487395
2013-06-09,108.4,-0.015351076
2013-06-10,99.75,-0.079797048
2013-06-11,105.99,0.062556391
2013-06-12,108.9,0.02745542
2013-06-13,108.4,-0.004591368
2013-06-14,102.77,-0.051937269
2013-06-15,98.4,-0.042522137
2013-06-16,99.99,0.016158537
2013-06-17,100.42,0.00430043
2013-06-18,102,0.015733918
2013-06-19,106.55,0.044607843
2013-06-20,107.9,0.012670108
2013-06-21,110.91,0.0278962
2013-06-22,109.02,-0.017040844
2013-06-23,107.25,-0.016235553
2013-06-24,108,0.006993007
2013-06-25,102.44,-0.051481481
2013-06-26,103.69,0.012202265
2013-06-27,103.39,-0.002893239
2013-06-28,99.66,-0.03607699
2013-06-29,93.33,-0.063515954
2013-06-30,95.39,0.022072217
2013-07-01,97.5,0.022119719
2013-07-02,89.49,-0.082153846
2013-07-03,90.8,0.014638507
2013-07-04,78.8,-0.13215859
2013-07-05,78.48,-0.004060914
2013-07-06,67.81,-0.135958206
2013-07-07,68.08,0.003981714
2013-07-08,77.5,0.138366627
2013-07-09,76.39,-0.014322581
2013-07-10,77,0.007985338
2013-07-11,85.75,0.113636364
2013-07-12,93.8,0.093877551
2013-07-13,88.06,-0.06119403
2013-07-14,95.58,0.085396321
2013-07-15,94,-0.016530655
2013-07-16,97.3,0.035106383
2013-07-17,98.98,0.017266187
2013-07-18,97.8,-0.0119216
2013-07-19,88.79,-0.092126789
2013-07-20,91.57,0.031309832
2013-07-21,89.28,-0.02500819
2013-07-22,90.37,0.012208781
2013-07-23,91.7,0.014717273
2013-07-24,94.58,0.031406761
2013-07-25,94.52,-0.000634384
2013-07-26,96.95,0.025708845
2013-07-27,94.13,-0.029087158
2013-07-28,94,-0.001381069
2013-07-29,98.58,0.048723404
2013-07-30,101.5,0.029620613
2013-07-31,110.34,0.087093596
2013-08-01,106.23,-0.037248505
2013-08-02,101.61,-0.043490539
2013-08-03,103.7,0.020568842
2013-08-04,104.86,0.011186114
2013-08-05,106.56,0.016212092
2013-08-06,105.84,-0.006756757
2013-08-07,106.75,0.008597884
2013-08-08,101.67,-0.047587822
2013-08-09,103.4,0.017015836
2013-08-10,102.71,-0.006673114
2013-08-11,103.77,0.010320319
2013-08-12,105.18,0.013587742
2013-08-13,106.07,0.008461685
2013-08-14,111.62,0.052323937
2013-08-15,111.87,0.002239742
2013-08-16,109.87,-0.017877894
2013-08-17,112.74,0.02612178
2013-08-18,114.4,0.014724144
2013-08-19,118.78,0.038286713
2013-08-20,120.5,0.014480552
2013-08-21,121.51,0.008381743
2013-08-22,122.5,0.008147478
2013-08-23,120,-0.020408163
2013-08-24,120.44,0.003666667
2013-08-25,122,0.012952507
2013-08-26,122.04,0.000327869
2013-08-27,125.67,0.029744346
2013-08-28,123.02,-0.021086974
2013-08-29,123.44,0.003414079
2013-08-30,129.2,0.046662346
2013-08-31,137.76,0.06625387
