,,XRP
,close,daily_return
time,,
2013-08-05,0.01,0
2013-08-06,0,-1
2013-08-18,0.01,0
2013-08-19,0.01,0
2013-08-20,0.01,0
2013-08-21,0.01,0
2013-08-22,0.01,0
2013-08-23,0.01,0
2013-08-24,0.01,0
2013-08-25,0.01,0
2013-08-26,0.01,0
2013-08-27,0.01,0
2013-08-28,0.01,0
2013-08-29,0.01,0
2013-08-30,0.01,0
2013-08-31,0.01,0
2013-09-01,0.01,0
2013-09-02,0.01,0
2013-09-03,0.01,0
2013-09-04,0.01,0
2013-09-05,0.01,0
2013-09-06,0.01,0
2013-09-07,0.01,0
2013-09-08,0.01,0
2013-09-09,0.01,0
2013-09-10,0.01,0
2013-09-11,0.01,0
2013-09-12,0.01,0
2013-09-13,0.01,0
2013-09-14,0.01,0
2013-09-15,0.01,0
2013-09-16,0.01,0
2013-09-17,0.01,0
2013-09-18,0.01,0
2013-09-19,0.01,0
2013-09-20,0.01,0
2013-09-21,0.01,0
2013-09-22,0.01,0
2013-09-23,0.01,0
2013-09-24,0.01,0
2013-09-25,0.01,0
2013-09-26,0.01,0
2013-09-28,0.01,0
2013-09-29,0.01,0
2013-09-30,0.01,0
2013-10-01,0.01,0
2013-10-02,0.01,0
2013-10-03,0.01,0
2013-10-04,0.01,0
2013-10-05,0.01,0
2013-10-06,0.01,0
2013-10-07,0.01,0
2013-10-08,0.01,0
2013-10-09,0.01,0
2013-10-10,0.01,0
2013-10-11,0.01,0
2013-10-12,0.01,0
2013-10-13,0.01,0
2013-10-14,0.01,0
2013-10-15,0.01,0
2013-10-16,0.01,0
2013-10-17,0.01,0
2013-10-18,0.01,0
2013-10-19,0.01,0
2013-10-20,0.01,0
2013-10-21,0.01,0
2013-10-22,0.01,0
2013-10-23,0.01,0
2013-10-24,0.01,0
2013-10-25,0.01,0
2013-10-26,0.01,0
2013-10-27,0.01,0
2013-10-28,0.01,0
2013-10-29,0.01,0
2013-10-30,0.01,0
2013-10-31,0.01,0
2013-11-01,0.01,0
2013-11-02,0.01,0
2013-11-03,0.01,0
2013-11-04,0.01,0
2013-11-05,0.01,0
2013-11-06,0.01,0
2013-11-07,0.01,0
2013-11-08,0.01,0
2013-11-09,0.01,0
2013-11-11,0.01,0
2013-11-12,0.01,0
2013-11-13,0.01,0
2013-11-14,0.01,0
2013-11-15,0.01,0
2013-11-16,0.01,0
2013-11-17,0.01,0
2013-11-18,0.01,0
2013-11-19,0.01,0
2013-11-20,0.01,0
2013-11-22,0.01,0
2013-11-23,0.01,0
2013-11-25,0.01,0
2013-11-26,0.02,1
2013-11-27,0.02,0
2013-11-29,0.03,0.5
2013-11-30,0.04,0.333333333
2013-12-01,0.05,0.25
2013-12-02,0.06,0.2
2013-12-03,0.05,-0.166666667
2013-12-04,0.05,0
2013-12-05,0.05,0
2013-12-06,0.05,0
2013-12-07,0.03,-0.4
2013-12-08,0.03,0
2013-12-09,0.04,0.333333333
2013-12-10,0.04,0
2013-12-11,0.04,0
2013-12-12,0.03,-0.25
2013-12-13,0.03,0
2013-12-14,0.03,0
2013-12-15,0.03,0
2013-12-16,0.02,-0.333333333
2013-12-17,0.02,0
2013-12-18,0.02,0
2013-12-19,0.02,0
2013-12-20,0.02,0
2013-12-21,0.02,0
2013-12-22,0.02,0
2013-12-23,0.02,0
2013-12-24,0.02,0
2013-12-25,0.02,0
2013-12-26,0.02,0
2013-12-27,0.03,0.5
2013-12-28,0.03,0
2013-12-29,0.03,0
2013-12-30,0.03,0
2013-12-31,0.03,0
2014-01-01,0.03,0
2014-01-02,0.03,0
2014-01-03,0.03,0
2014-01-04,0.03,0
2014-01-05,0.02,-0.333333333
2014-01-06,0.03,0.5
2014-01-07,0.02,-0.333333333
2014-01-08,0.02,0
2014-01-09,0.02,0
2014-01-10,0.02,0
2014-01-11,0.02,0
2014-01-12,0.02,0
2014-01-13,0.02,0
2014-01-14,0.02,0
2014-01-15,0.02,0
2014-01-16,0.02,0
2014-01-17,0.02,0
2014-01-18,0.02,0
2014-01-19,0.02,0
2014-01-20,0.02,0
2014-01-21,0.02,0
2014-01-22,0.02,0
2014-01-23,0.02,0
2014-01-24,0.02,0
2014-01-25,0.02,0
2014-01-26,0.02,0
2014-01-27,0.02,0
2014-01-28,0.02,0
