Date,Close
2013-04-28,4.3
2013-04-29,4.36
2013-04-30,4.18
2013-05-01,3.65
2013-05-02,3.39
2013-05-03,2.79
2013-05-04,3.52
2013-05-05,3.63
2013-05-06,3.51
2013-05-07,3.21
2013-05-08,3.46
2013-05-09,3.42
2013-05-10,3.5
2013-05-11,3.39
2013-05-12,3.24
2013-05-13,3.2
2013-05-14,3.07
2013-05-15,2.93
2013-05-16,2.87
2013-05-17,3.16
2013-05-18,3.32
2013-05-19,3.27
2013-05-20,3.19
2013-05-21,3.08
2013-05-22,3.09
2013-05-23,3.15
2013-05-24,3.15
2013-05-25,3.12
2013-05-26,3.26
2013-05-27,3.12
2013-05-28,3.09
2013-05-30,3.08
2013-05-31,2.95
2013-06-01,2.95
2013-06-02,2.84
2013-06-03,2.69
2013-06-04,2.73
2013-06-05,2.98
2013-06-06,2.83
2013-06-07,2.76
2013-06-08,2.58
2013-06-09,2.53
2013-06-10,2.32
2013-06-11,2.48
2013-06-12,2.39
2013-06-13,2.35
2013-06-14,2.24
2013-06-15,2.12
2013-06-16,2.07
2013-06-17,2.11
2013-06-18,2.28
2013-06-19,2.27
2013-06-20,2.29
2013-06-21,2.3
2013-06-22,2.82
2013-06-23,3.08
2013-06-24,3.07
2013-06-25,2.87
2013-06-26,2.82
2013-06-27,2.88
2013-06-28,2.96
2013-06-29,2.83
2013-06-30,2.8
2013-07-01,3.06
2013-07-02,2.98
2013-07-03,2.84
2013-07-04,2.59
2013-07-05,2.67
2013-07-06,2.44
2013-07-07,2.41
2013-07-08,2.68
2013-07-09,2.63
2013-07-10,2.59
2013-07-11,2.78
2013-07-12,2.82
2013-07-13,2.7
2013-07-14,2.79
2013-07-15,2.86
2013-07-16,2.95
2013-07-17,3.14
2013-07-18,3.1
2013-07-19,2.83
2013-07-20,2.95
2013-07-21,2.87
2013-07-22,2.9
2013-07-23,2.91
2013-07-24,2.89
2013-07-25,2.95
2013-07-26,2.9
2013-07-27,2.88
2013-07-28,2.89
2013-07-29,2.95
2013-07-30,2.96
2013-07-31,2.96
2013-08-01,2.94
2013-08-02,2.93
2013-08-03,2.89
2013-08-04,2.99
2013-08-05,2.92
2013-08-06,2.86
2013-08-07,2.77
2013-08-08,2.77
2013-08-09,2.71
2013-08-10,2.65
2013-08-11,2.61
2013-08-12,2.63
2013-08-13,2.67
2013-08-14,2.77
2013-08-15,2.75
2013-08-16,2.74
2013-08-17,2.71
2013-08-18,2.82
2013-08-19,2.81
2013-08-20,2.83
2013-08-21,2.75
2013-08-22,2.63
2013-08-23,2.76
2013-08-24,2.72
2013-08-25,2.66
2013-08-26,2.58
2013-08-27,2.53
2013-08-28,2.54
2013-08-29,2.54
2013-08-30,2.54
2013-08-31,2.68
2013-09-01,2.6
2013-09-02,2.6
2013-09-03,2.51
2013-09-04,2.68
2013-09-05,2.8
2013-09-06,2.73
2013-09-07,2.7
2013-09-08,2.67
2013-09-09,2.66
2013-09-10,2.68
2013-09-11,2.65
2013-09-12,2.69
2013-09-13,2.67
2013-09-14,2.62
2013-09-15,2.67
2013-09-16,2.65
2013-09-17,2.63
2013-09-18,2.58
2013-09-19,2.56
2013-09-20,2.59
2013-09-21,2.53
2013-09-22,2.54
2013-09-23,2.48
2013-09-24,2.44
2013-09-25,2.47
2013-09-26,2.4
2013-09-27,2.44
2013-09-28,2.35
2013-09-29,2.39
2013-09-30,2.23
2013-10-01,2.39
2013-10-02,2.43
2013-10-03,2.02
2013-10-04,2.25
2013-10-05,2.21
2013-10-06,2.14
2013-10-07,2.14
2013-10-08,2.05
2013-10-09,1.96
2013-10-10,2.0
2013-10-11,2.08
2013-10-12,2.12
2013-10-13,2.14
2013-10-14,2.08
2013-10-15,2.03
2013-10-16,1.9
2013-10-17,1.9
2013-10-18,1.91
2013-10-19,1.96
2013-10-20,1.93
2013-10-21,1.85
2013-10-22,1.72
2013-10-23,1.89
2013-10-24,2.18
2013-10-25,2.61
2013-10-26,2.22
2013-10-27,2.25
2013-10-28,2.15
2013-10-29,2.19
2013-10-30,2.17
2013-10-31,2.24
2013-11-01,2.33
2013-11-02,2.45
2013-11-03,2.98
2013-11-04,3.09
2013-11-05,3.04
2013-11-06,3.09
2013-11-07,4.39
2013-11-08,4.58
2013-11-09,4.27
2013-11-10,3.89
2013-11-11,3.91
2013-11-12,4.0
2013-11-13,4.22
2013-11-14,4.34
2013-11-15,4.33
2013-11-16,4.39
2013-11-17,4.3
2013-11-18,5.44
2013-11-19,7.82
2013-11-20,7.1
2013-11-21,9.1
2013-11-22,9.48
2013-11-23,10.99
2013-11-24,10.45
2013-11-25,10.77
2013-11-26,14.82
2013-11-27,26.01
2013-11-28,50.27
2013-11-29,35.78
2013-11-30,38.74
2013-12-01,33.72
2013-12-02,31.07
2013-12-03,34.91
2013-12-04,42.95
2013-12-05,39.17
2013-12-06,30.27
2013-12-07,24.44
2013-12-08,24.75
2013-12-09,30.66
2013-12-10,35.13
2013-12-11,30.9
2013-12-12,30.93
2013-12-13,30.72
2013-12-14,30.55
2013-12-15,30.92
2013-12-16,26.35
2013-12-17,23.26
2013-12-18,15.86
2013-12-19,18.06
2013-12-20,18.36
2013-12-21,16.93
2013-12-22,17.09
2013-12-23,17.34
2013-12-24,17.43
2013-12-25,20.09
