Date,Close
1998-01-20,47.46
1998-01-21,46.88
1998-01-22,46.48
1998-01-23,46.37
1998-01-26,46.56
1998-01-27,47.1
1998-01-28,47.65
1998-01-29,47.82
1998-01-30,47.71
1998-02-02,48.79
1998-02-03,49.17
1998-02-04,48.91
1998-02-05,48.92
1998-02-06,49.44
1998-02-09,49.25
1998-02-10,50.07
1998-02-11,50.07
1998-02-12,50.39
1998-02-13,50.37
1998-02-17,50.62
1998-02-18,50.96
1998-02-19,50.48
1998-02-20,50.75
1998-02-23,50.73
1998-02-24,50.58
1998-02-25,51.0
1998-02-26,51.28
1998-02-27,51.54
1998-03-02,51.62
1998-03-03,51.85
1998-03-04,51.5
1998-03-05,51.05
1998-03-06,51.81
1998-03-09,51.71
1998-03-10,52.22
1998-03-11,52.39
1998-03-12,52.32
1998-03-13,51.88
1998-03-16,52.67
1998-03-17,52.85
1998-03-18,52.98
1998-03-19,53.13
1998-03-20,53.69
1998-03-23,53.28
1998-03-24,53.86
1998-03-25,53.52
1998-03-26,53.37
1998-03-27,53.15
1998-03-30,53.08
1998-03-31,53.1
1998-04-01,53.56
1998-04-02,54.29
1998-04-03,54.25
1998-04-06,54.42
1998-04-07,54.13
1998-04-08,53.76
1998-04-09,54.42
1998-04-13,54.4
1998-04-14,55.06
1998-04-15,55.41
1998-04-16,54.83
1998-04-17,55.43
1998-04-20,55.18
1998-04-21,55.55
1998-04-22,55.51
1998-04-23,55.19
1998-04-24,54.73
1998-04-27,53.94
1998-04-28,53.78
1998-04-29,54.05
1998-04-30,54.93
1998-05-01,55.4
1998-05-04,55.49
1998-05-05,55.3
1998-05-06,54.57
1998-05-07,54.24
1998-05-08,54.96
1998-05-11,54.96
1998-05-12,55.56
1998-05-13,55.76
1998-05-14,55.49
1998-05-15,54.93
1998-05-18,54.77
1998-05-19,54.79
1998-05-20,55.53
1998-05-21,55.28
1998-05-22,55.2
1998-05-26,54.24
1998-05-27,54.24
1998-05-28,54.44
1998-05-29,53.75
1998-06-01,54.09
1998-06-02,53.82
1998-06-03,53.15
1998-06-04,53.78
1998-06-05,54.97
1998-06-08,55.01
1998-06-09,54.9
1998-06-10,54.3
1998-06-11,53.32
1998-06-12,53.58
1998-06-15,52.03
1998-06-16,52.51
1998-06-17,53.64
1998-06-18,53.43
1998-06-19,52.8
1998-06-22,52.85
1998-06-23,53.58
1998-06-24,54.14
1998-06-25,54.38
1998-06-26,54.38
1998-06-29,54.64
1998-06-30,54.38
1998-07-01,54.93
1998-07-02,54.75
1998-07-06,55.33
1998-07-07,55.24
1998-07-08,55.75
1998-07-09,55.1
1998-07-10,55.32
1998-07-13,55.17
1998-07-14,56.05
1998-07-15,56.08
1998-07-16,56.55
1998-07-17,56.59
1998-07-20,56.46
1998-07-21,55.63
1998-07-22,55.42
1998-07-23,54.18
1998-07-24,54.23
1998-07-27,54.72
1998-07-28,54.1
1998-07-29,53.97
1998-07-30,54.71
1998-07-31,53.68
1998-08-03,53.24
1998-08-04,51.5
1998-08-05,51.94
1998-08-06,51.94
1998-08-07,52.24
1998-08-10,52.01
1998-08-11,51.16
1998-08-12,51.95
1998-08-13,51.1
1998-08-14,51.12
1998-08-17,51.99
1998-08-18,52.98
1998-08-19,52.73
1998-08-20,52.3
1998-08-21,52.02
1998-08-24,52.04
1998-08-25,52.21
1998-08-26,51.89
1998-08-27,49.25
1998-08-28,49.09
1998-08-31,45.5
1998-09-01,47.72
1998-09-02,47.27
1998-09-03,46.81
1998-09-04,46.72
1998-09-08,48.98
1998-09-09,47.65
1998-09-10,46.03
1998-09-11,47.84
1998-09-14,48.26
1998-09-15,48.79
1998-09-16,49.3
1998-09-17,47.88
1998-09-18,47.96
1998-09-21,48.23
1998-09-22,47.99
1998-09-23,49.83
1998-09-24,48.54
1998-09-25,48.76
1998-09-28,49.46
1998-09-29,49.1
1998-09-30,47.58
1998-10-01,46.38
1998-10-02,47.56
1998-10-05,46.99
1998-10-06,46.97
1998-10-07,47.07
1998-10-08,47.05
1998-10-09,48.19
1998-10-12,48.55
1998-10-13,48.18
1998-10-14,48.49
1998-10-15,51.04
1998-10-16,51.23
1998-10-19,51.5
1998-10-20,51.66
1998-10-21,51.77
1998-10-22,52.07
1998-10-23,51.31
1998-10-26,51.35
1998-10-27,50.95
1998-10-28,50.79
1998-10-29,51.99
1998-10-30,52.35
1998-11-02,53.23
1998-11-03,52.94
1998-11-04,53.7
1998-11-05,54.47
1998-11-06,54.69
1998-11-09,54.17
1998-11-10,53.93
1998-11-11,53.77
1998-11-12,53.93
1998-11-13,54.47
1998-11-16,54.98
1998-11-17,54.75
1998-11-18,55.18
1998-11-19,55.23
1998-11-20,55.91
1998-11-23,57.36
1998-11-24,56.75
1998-11-25,56.77
1998-11-27,56.84
1998-11-30,55.36
1998-12-01,55.63
1998-12-02,55.32
1998-12-03,54.15
1998-12-04,55.17
1998-12-07,55.32
1998-12-08,55.05
1998-12-09,54.9
1998-12-10,53.81
1998-12-11,53.62
1998-12-14,52.74
1998-12-15,53.77
1998-12-16,53.57
1998-12-17,54.08
1998-12-18,54.17
1998-12-21,54.84
1998-12-22,55.16
1998-12-23,56.21
1998-12-24,56.23
1998-12-28,56.14
1998-12-29,57.08
1998-12-30,56.56
1998-12-31,55.89
1999-01-04,56.15
1999-01-05,56.92
1999-01-06,58.41
1999-01-07,58.16
1999-01-08,58.93
1999-01-11,58.83
1999-01-12,57.72
1999-01-13,57.0
1999-01-14,55.49
1999-01-15,57.17
1999-01-19,56.92
1999-01-20,57.26
1999-01-21,56.34
1999-01-22,55.85
1999-01-25,56.44
1999-01-26,57.32
1999-01-27,56.08
1999-01-28,56.55
1999-01-29,57.05
1999-02-01,57.09
1999-02-02,56.67
1999-02-03,57.41
1999-02-04,57.18
1999-02-05,56.92
1999-02-08,56.76
1999-02-09,55.89
1999-02-10,56.04
1999-02-11,57.49
1999-02-12,56.82
1999-02-16,56.7
1999-02-17,56.53
1999-02-18,56.9
1999-02-19,57.3
1999-02-22,58.62
1999-02-23,58.54
1999-02-24,57.51
1999-02-25,57.09
1999-02-26,56.9
1999-03-01,57.01
1999-03-02,57.14
1999-03-03,56.88
1999-03-04,58.18
1999-03-05,59.8
1999-03-08,59.71
1999-03-09,59.38
1999-03-10,60.0
1999-03-11,60.84
1999-03-12,60.43
1999-03-15,61.1
1999-03-16,60.91
1999-03-17,60.6
1999-03-18,61.45
1999-03-19,60.47
1999-03-22,60.81
1999-03-23,59.28
1999-03-24,59.41
1999-03-25,60.51
1999-03-26,60.3
1999-03-29,61.27
1999-03-30,60.91
1999-03-31,59.97
1999-04-01,60.29
1999-04-05,61.43
1999-04-06,61.12
1999-04-07,61.96
1999-04-08,62.62
1999-04-09,62.5
1999-04-12,63.51
1999-04-13,63.88
1999-04-14,64.02
1999-04-15,64.32
1999-04-16,64.14
1999-04-19,64.05
1999-04-20,64.1
1999-04-21,65.35
1999-04-22,65.94
1999-04-23,65.71
1999-04-26,65.81
1999-04-27,66.5
1999-04-28,66.43
1999-04-29,66.75
1999-04-30,66.04
1999-05-03,67.63
1999-05-04,67.04
1999-05-05,67.11
1999-05-06,67.19
1999-05-07,67.77
1999-05-10,67.5
1999-05-11,67.63
1999-05-12,67.59
1999-05-13,68.26
1999-05-14,66.96
1999-05-17,66.73
1999-05-18,66.78
1999-05-19,66.92
1999-05-20,66.77
1999-05-21,66.56
1999-05-24,65.41
1999-05-25,64.6
1999-05-26,65.79
1999-05-27,64.49
1999-05-28,64.65
1999-06-01,65.24
1999-06-02,65.13
1999-06-03,65.64
1999-06-04,66.54
1999-06-07,67.01
1999-06-08,66.26
1999-06-09,65.87
1999-06-10,65.31
1999-06-11,64.55
1999-06-14,64.99
1999-06-15,65.39
1999-06-16,66.28
1999-06-17,66.85
1999-06-18,66.77
1999-06-21,66.56
1999-06-22,65.96
1999-06-23,65.56
1999-06-24,65.02
1999-06-25,65.09
1999-06-28,65.67
1999-06-29,66.25
1999-06-30,67.33
1999-07-01,68.16
1999-07-02,68.73
1999-07-06,68.58
1999-07-07,68.67
1999-07-08,68.42
1999-07-09,68.98
1999-07-12,68.85
1999-07-13,68.89
1999-07-14,68.73
1999-07-15,68.76
1999-07-16,68.98
1999-07-19,68.82
1999-07-20,67.52
1999-07-21,67.69
1999-07-22,67.39
1999-07-23,67.16
1999-07-26,66.77
1999-07-27,67.5
1999-07-28,67.39
1999-07-29,66.37
1999-07-30,65.48
1999-08-02,65.62
1999-08-03,65.71
1999-08-04,65.67
1999-08-05,66.71
1999-08-06,65.94
1999-08-09,65.96
1999-08-10,65.73
1999-08-11,66.5
1999-08-12,66.44
1999-08-13,67.73
1999-08-16,68.14
1999-08-17,68.5
1999-08-18,67.67
1999-08-19,67.58
1999-08-20,68.59
1999-08-23,69.91
1999-08-24,69.69
1999-08-25,70.11
1999-08-26,69.15
1999-08-27,68.49
1999-08-30,67.3
1999-08-31,66.79
1999-09-01,67.6
1999-09-02,66.89
1999-09-03,68.68
1999-09-07,68.03
1999-09-08,68.07
1999-09-09,68.22
1999-09-10,68.07
1999-09-13,68.07
1999-09-14,67.47
1999-09-15,66.56
1999-09-16,66.35
1999-09-17,66.95
1999-09-20,66.74
1999-09-21,65.39
1999-09-22,64.95
1999-09-23,63.44
1999-09-24,63.41
1999-09-27,63.69
1999-09-28,63.48
1999-09-29,63.01
1999-09-30,64.02
1999-10-01,63.38
1999-10-04,64.5
1999-10-05,64.26
1999-10-06,65.41
1999-10-07,65.03
1999-10-08,65.85
1999-10-11,65.72
1999-10-12,64.39
1999-10-13,63.05
1999-10-14,63.4
1999-10-15,61.8
1999-10-18,62.49
1999-10-19,63.15
1999-10-20,64.1
1999-10-21,63.92
1999-10-22,64.58
1999-10-25,63.89
1999-10-26,63.46
1999-10-27,64.43
1999-10-28,65.86
1999-10-29,66.47
1999-11-01,65.82
1999-11-02,65.31
1999-11-03,65.64
1999-11-04,65.89
1999-11-05,66.45
1999-11-08,66.36
1999-11-09,65.7
1999-11-10,65.51
1999-11-11,65.57
1999-11-12,66.78
1999-11-15,66.63
1999-11-16,67.93
1999-11-17,67.5
1999-11-18,68.3
1999-11-19,68.11
1999-11-22,68.79
1999-11-23,68.15
1999-11-24,68.18
1999-11-26,67.75
1999-11-29,67.82
1999-11-30,67.28
1999-12-01,68.15
1999-12-02,68.47
1999-12-03,69.92
1999-12-06,69.49
1999-12-07,68.84
1999-12-08,68.39
1999-12-09,68.95
1999-12-10,69.62
1999-12-13,69.47
1999-12-14,69.22
1999-12-15,69.5
1999-12-16,69.59
1999-12-17,69.9
1999-12-20,69.05
1999-12-21,69.44
1999-12-22,69.52
1999-12-23,70.94
1999-12-27,70.72
1999-12-28,71.3
1999-12-29,71.18
1999-12-30,70.92
1999-12-31,71.38
2000-01-03,70.33
2000-01-04,68.02
2000-01-05,68.9
2000-01-06,69.25
2000-01-07,71.57
2000-01-10,71.88
2000-01-11,71.35
2000-01-12,71.53
2000-01-13,71.8
2000-01-14,72.81
2000-01-18,71.71
2000-01-19,71.61
2000-01-20,70.48
2000-01-21,69.95
2000-01-24,68.21
2000-01-25,68.42
2000-01-26,68.5
2000-01-27,68.5
2000-01-28,66.6
2000-01-31,67.9
2000-02-01,68.38
2000-02-02,68.01
2000-02-03,68.52
2000-02-04,68.05
2000-02-07,67.43
2000-02-08,67.78
2000-02-09,66.29
2000-02-10,66.35
2000-02-11,64.8
2000-02-14,65.42
2000-02-15,66.62
2000-02-16,65.61
2000-02-17,64.97
2000-02-18,63.48
2000-02-22,63.83
2000-02-23,63.48
2000-02-24,63.32
2000-02-25,61.19
2000-02-28,62.17
2000-02-29,63.05
2000-03-01,63.09
2000-03-02,63.13
2000-03-03,64.49
2000-03-06,63.15
2000-03-07,60.84
2000-03-08,61.13
2000-03-09,62.29
2000-03-10,61.81
2000-03-13,61.85
2000-03-14,61.13
2000-03-15,63.09
2000-03-16,66.29
2000-03-17,65.98
2000-03-20,66.41
2000-03-21,67.85
2000-03-22,67.51
2000-03-23,69.09
2000-03-24,69.09
2000-03-27,68.28
2000-03-28,68.0
2000-03-29,68.86
2000-03-30,68.43
2000-03-31,68.04
2000-04-03,70.06
2000-04-04,69.44
2000-04-05,68.63
2000-04-06,69.28
2000-04-07,68.96
2000-04-10,69.67
2000-04-11,70.41
2000-04-12,68.71
2000-04-13,67.79
2000-04-14,63.74
2000-04-17,65.91
2000-04-18,66.57
2000-04-19,66.41
2000-04-20,67.66
2000-04-24,67.72
2000-04-25,69.22
2000-04-26,67.8
2000-04-27,67.41
2000-04-28,66.91
2000-05-01,67.25
2000-05-02,66.59
2000-05-03,65.19
2000-05-04,64.88
2000-05-05,65.84
2000-05-08,65.89
