,,BTC
,close,daily_return
time,,
2013-04-29,141.96,0.04922394678
2013-04-30,135.3,-0.04691462384
2013-05-01,117,-0.1352549889
2013-05-02,103.43,-0.115982906
2013-05-03,91.01,-0.1200812143
2013-05-04,111.25,0.2223931436
2013-05-05,116.79,0.04979775281
2013-05-06,118.33,0.01318606045
2013-05-07,106.4,-0.1008197414
2013-05-08,112.64,0.05864661654
2013-05-09,113,0.003196022727
2013-05-10,118.78,0.05115044248
2013-05-11,113.01,-0.04857720155
2013-05-12,114.71,0.01504291656
2013-05-13,117.18,0.02153256037
2013-05-14,114.5,-0.02287079706
2013-05-15,114.16,-0.002969432314
2013-05-16,115.5,0.0117379117
2013-05-17,123.1,0.0658008658
2013-05-18,123.88,0.006336311942
2013-05-19,120.5,-0.02728446884
2013-05-20,122.58,0.01726141079
2013-05-21,122.9,0.002610540055
2013-05-22,123,0.0008136696501
2013-05-23,125.75,0.02235772358
2013-05-24,131.7,0.04731610338
2013-05-25,130.77,-0.007061503417
2013-05-26,134.6,0.02928806301
2013-05-27,128.99,-0.04167904903
2013-05-28,129.18,0.001472982402
2013-05-29,132.13,0.02283635238
2013-05-30,127.4,-0.03579807765
2013-05-31,127.98,0.004552590267
2013-06-01,129.09,0.008673230192
2013-06-02,121.3,-0.06034549539
2013-06-03,121.16,-0.001154163232
2013-06-05,121.31,0.001238032354
2013-06-06,121.71,0.0032973374
2013-06-07,119,-0.02226604223
2013-06-08,110.09,-0.07487394958
2013-06-09,108.4,-0.01535107639
2013-06-10,99.75,-0.07979704797
2013-06-11,105.99,0.06255639098
2013-06-12,108.9,0.02745542032
2013-06-13,108.4,-0.004591368228
2013-06-14,102.77,-0.05193726937
2013-06-15,98.4,-0.04252213681
2013-06-16,99.99,0.01615853659
2013-06-17,100.42,0.004300430043
2013-06-18,102,0.01573391755
2013-06-19,106.55,0.04460784314
2013-06-20,107.9,0.01267010793
2013-06-21,110.91,0.02789620019
2013-06-22,109.02,-0.01704084393
2013-06-23,107.25,-0.01623555311
2013-06-24,108,0.006993006993
2013-06-25,102.44,-0.05148148148
2013-06-26,103.69,0.01220226474
2013-06-27,103.39,-0.002893239464
2013-06-28,99.66,-0.03607699004
2013-06-29,93.33,-0.06351595424
2013-06-30,95.39,0.02207221686
2013-07-01,97.5,0.02211971905
2013-07-02,89.49,-0.08215384615
2013-07-03,90.8,0.0146385071
2013-07-04,78.8,-0.1321585903
2013-07-05,78.48,-0.004060913706
2013-07-06,67.81,-0.1359582059
2013-07-07,68.08,0.003981713612
2013-07-08,77.5,0.1383666275
2013-07-09,76.39,-0.01432258065
2013-07-10,77,0.007985338395
2013-07-11,85.75,0.1136363636
2013-07-12,93.8,0.09387755102
2013-07-13,88.06,-0.06119402985
2013-07-14,95.58,0.08539632069
2013-07-15,94,-0.01653065495
2013-07-16,97.3,0.03510638298
2013-07-17,98.98,0.01726618705
2013-07-18,97.8,-0.01192160032
2013-07-19,88.79,-0.09212678937
2013-07-20,91.57,0.03130983219
2013-07-21,89.28,-0.02500819046
2013-07-22,90.37,0.01220878136
2013-07-23,91.7,0.01471727343
2013-07-24,94.58,0.03140676118
2013-07-25,94.52,-0.0006343835906
2013-07-26,96.95,0.02570884469
2013-07-27,94.13,-0.02908715833
2013-07-28,94,-0.001381068735
2013-07-29,98.58,0.04872340426
2013-07-30,101.5,0.0296206127
2013-07-31,110.34,0.08709359606
2013-08-01,106.23,-0.03724850462
2013-08-02,101.61,-0.0434905394
2013-08-03,103.7,0.02056884165
2013-08-04,104.86,0.01118611379
2013-08-05,106.56,0.01621209231
2013-08-06,105.84,-0.006756756757
2013-08-07,106.75,0.008597883598
2013-08-08,101.67,-0.04758782201
2013-08-09,103.4,0.01701583555
2013-08-10,102.71,-0.00667311412
2013-08-11,103.77,0.01032031935
2013-08-12,105.18,0.01358774212
2013-08-13,106.07,0.008461684731
2013-08-14,111.62,0.05232393702
2013-08-15,111.87,0.002239741982
2013-08-16,109.87,-0.01787789398
2013-08-17,112.74,0.02612178029
2013-08-18,114.4,0.01472414405
2013-08-19,118.78,0.03828671329
2013-08-20,120.5,0.01448055228
2013-08-21,121.51,0.008381742739
2013-08-22,122.5,0.008147477574
2013-08-23,120,-0.02040816327
2013-08-24,120.44,0.003666666667
