Date,Close
2017-11-09,0.23
2017-11-10,0.19
2017-11-11,0.18
2017-11-12,0.17
2017-11-13,0.18
2017-11-14,0.18
2017-11-15,0.19
2017-11-16,0.17
2017-11-17,0.16
2017-11-18,0.17
2017-11-19,0.16
2017-11-20,0.16
2017-11-21,0.16
2017-11-22,0.17
2017-11-23,0.17
2017-11-24,0.19
2017-11-25,0.18
2017-11-26,0.18
2017-11-27,0.19
2017-11-28,0.18
2017-11-29,0.15
2017-11-30,0.18
2017-12-01,0.18
2017-12-02,0.21
2017-12-03,0.23
2017-12-04,0.23
2017-12-05,0.3
2017-12-06,0.31
2017-12-07,0.28
2017-12-08,0.25
2017-12-09,0.24
2017-12-10,0.26
2017-12-11,0.27
2017-12-12,0.23
2017-12-13,0.26
2017-12-14,0.33
2017-12-15,0.32
2017-12-16,0.35
2017-12-17,0.43
2017-12-18,0.4
2017-12-19,0.45
2017-12-20,0.39
2017-12-21,0.45
2017-12-22,0.43
2017-12-23,0.64
2017-12-24,0.57
2017-12-25,0.52
2017-12-26,0.54
2017-12-27,0.54
2017-12-28,0.53
2017-12-29,0.51
2017-12-30,0.62
2017-12-31,0.65
2018-01-01,0.75
2018-01-02,0.69
2018-01-03,0.7
2018-01-04,1.04
2018-01-05,1.0
2018-01-06,1.14
2018-01-07,1.34
2018-01-08,1.45
2018-01-09,1.33
2018-01-10,1.21
2018-01-11,1.08
2018-01-12,1.12
2018-01-13,1.17
2018-01-14,1.06
2018-01-15,0.93
2018-01-16,0.77
2018-01-17,0.72
2018-01-18,0.75
2018-01-19,0.83
2018-01-20,1.27
2018-01-21,0.91
2018-01-22,0.82
2018-01-23,0.81
2018-01-24,0.8
2018-01-25,0.76
2018-01-26,0.71
2018-01-27,0.83
2018-01-28,0.76
2018-01-29,0.69
2018-01-30,0.69
2018-01-31,0.6
2018-02-01,0.62
2018-02-02,0.52
2018-02-03,0.49
2018-02-04,0.51
2018-02-05,0.44
2018-02-06,0.34
2018-02-07,0.42
2018-02-08,0.38
2018-02-09,0.41
2018-02-10,0.43
2018-02-11,0.42
2018-02-12,0.42
2018-02-13,0.53
2018-02-14,0.57
2018-02-15,0.57
2018-02-16,0.57
2018-02-17,0.67
2018-02-18,0.68
2018-02-19,0.74
2018-02-20,0.78
2018-02-21,0.73
2018-02-22,0.61
2018-02-23,0.6
2018-02-24,0.68
2018-02-25,0.64
2018-02-26,0.69
2018-02-27,0.7
2018-02-28,0.72
2018-03-01,0.67
2018-03-02,0.66
2018-03-03,0.65
2018-03-04,0.62
2018-03-05,0.59
2018-03-06,0.58
2018-03-07,0.53
2018-03-08,0.53
2018-03-09,0.49
2018-03-10,0.48
2018-03-11,0.47
2018-03-12,0.51
2018-03-13,0.51
2018-03-14,0.56
2018-03-15,0.45
2018-03-16,0.43
2018-03-17,0.44
2018-03-18,0.38
2018-03-19,0.37
2018-03-20,0.39
2018-03-21,0.39
2018-03-22,0.45
2018-03-23,0.42
2018-03-24,0.41
2018-03-25,0.42
2018-03-26,0.41
2018-03-27,0.37
2018-03-28,0.35
2018-03-29,0.35
2018-03-30,0.28
2018-03-31,0.29
2018-04-01,0.28
2018-04-02,0.26
2018-04-03,0.27
2018-04-04,0.3
2018-04-05,0.29
2018-04-06,0.29
2018-04-07,0.28
2018-04-08,0.3
2018-04-09,0.32
2018-04-10,0.31
2018-04-11,0.36
2018-04-12,0.36
2018-04-13,0.38
2018-04-14,0.38
2018-04-15,0.39
2018-04-16,0.42
2018-04-17,0.41
2018-04-18,0.42
2018-04-19,0.44
2018-04-20,0.48
2018-04-21,0.48
2018-04-22,0.49
2018-04-23,0.5
2018-04-24,0.49
2018-04-25,0.54
2018-04-26,0.44
2018-04-27,0.49
2018-04-28,0.45
2018-04-29,0.48
2018-04-30,0.51
2018-05-01,0.54
2018-05-02,0.54
2018-05-03,0.56
2018-05-04,0.56
2018-05-05,0.58
