,,LINK
,close,daily_return
time,,
2017-11-10,0.19,-0.1739130435
2017-11-11,0.18,-0.05263157895
2017-11-12,0.17,-0.05555555556
2017-11-13,0.18,0.05882352941
2017-11-14,0.18,0
2017-11-15,0.19,0.05555555556
2017-11-16,0.17,-0.1052631579
2017-11-17,0.16,-0.05882352941
2017-11-18,0.17,0.0625
2017-11-19,0.16,-0.05882352941
2017-11-20,0.16,0
2017-11-21,0.16,0
2017-11-22,0.17,0.0625
2017-11-23,0.17,0
2017-11-24,0.19,0.1176470588
2017-11-25,0.18,-0.05263157895
2017-11-26,0.18,0
2017-11-27,0.19,0.05555555556
2017-11-28,0.18,-0.05263157895
2017-11-29,0.15,-0.1666666667
2017-11-30,0.18,0.2
2017-12-01,0.18,0
2017-12-02,0.21,0.1666666667
2017-12-03,0.23,0.09523809524
2017-12-04,0.23,0
2017-12-05,0.3,0.3043478261
2017-12-06,0.31,0.03333333333
2017-12-07,0.28,-0.09677419355
2017-12-08,0.25,-0.1071428571
2017-12-09,0.24,-0.04
2017-12-10,0.26,0.08333333333
2017-12-11,0.27,0.03846153846
2017-12-12,0.23,-0.1481481481
2017-12-13,0.26,0.1304347826
2017-12-14,0.33,0.2692307692
2017-12-15,0.32,-0.0303030303
2017-12-16,0.35,0.09375
2017-12-17,0.43,0.2285714286
2017-12-18,0.4,-0.06976744186
2017-12-19,0.45,0.125
2017-12-20,0.39,-0.1333333333
2017-12-21,0.45,0.1538461538
2017-12-22,0.43,-0.04444444444
2017-12-23,0.64,0.488372093
2017-12-24,0.57,-0.109375
2017-12-25,0.52,-0.08771929825
2017-12-26,0.54,0.03846153846
2017-12-27,0.54,0
2017-12-28,0.53,-0.01851851852
2017-12-29,0.51,-0.03773584906
2017-12-30,0.62,0.2156862745
2017-12-31,0.65,0.04838709677
2018-01-01,0.75,0.1538461538
2018-01-02,0.69,-0.08
2018-01-03,0.7,0.01449275362
2018-01-04,1.04,0.4857142857
2018-01-05,1,-0.03846153846
2018-01-06,1.14,0.14
2018-01-07,1.34,0.1754385965
2018-01-08,1.45,0.08208955224
2018-01-09,1.33,-0.08275862069
2018-01-10,1.21,-0.09022556391
2018-01-11,1.08,-0.1074380165
2018-01-12,1.12,0.03703703704
2018-01-13,1.17,0.04464285714
2018-01-14,1.06,-0.09401709402
2018-01-15,0.93,-0.1226415094
2018-01-16,0.77,-0.1720430108
2018-01-17,0.72,-0.06493506494
2018-01-18,0.75,0.04166666667
2018-01-19,0.83,0.1066666667
2018-01-20,1.27,0.5301204819
2018-01-21,0.91,-0.2834645669
2018-01-22,0.82,-0.0989010989
2018-01-23,0.81,-0.01219512195
2018-01-24,0.8,-0.01234567901
2018-01-25,0.76,-0.05
2018-01-26,0.71,-0.06578947368
2018-01-27,0.83,0.1690140845
2018-01-28,0.76,-0.0843373494
2018-01-29,0.69,-0.09210526316
2018-01-30,0.69,0
2018-01-31,0.6,-0.1304347826
2018-02-01,0.62,0.03333333333
2018-02-02,0.52,-0.1612903226
2018-02-03,0.49,-0.05769230769
2018-02-04,0.51,0.04081632653
2018-02-05,0.44,-0.137254902
2018-02-06,0.34,-0.2272727273
2018-02-07,0.42,0.2352941176
2018-02-08,0.38,-0.09523809524
2018-02-09,0.41,0.07894736842
2018-02-10,0.43,0.0487804878
2018-02-11,0.42,-0.02325581395
2018-02-12,0.42,0
2018-02-13,0.53,0.2619047619
2018-02-14,0.57,0.07547169811
2018-02-15,0.57,0
2018-02-16,0.57,0
2018-02-17,0.67,0.1754385965
2018-02-18,0.68,0.01492537313
2018-02-19,0.74,0.08823529412
2018-02-20,0.78,0.05405405405
2018-02-21,0.73,-0.0641025641
2018-02-22,0.61,-0.1643835616
2018-02-23,0.6,-0.01639344262
2018-02-24,0.68,0.1333333333
2018-02-25,0.64,-0.05882352941
2018-02-26,0.69,0.078125
2018-02-27,0.7,0.01449275362
2018-02-28,0.72,0.02857142857
2018-03-01,0.67,-0.06944444444
2018-03-02,0.66,-0.01492537313
2018-03-03,0.65,-0.01515151515
2018-03-04,0.62,-0.04615384615
2018-03-05,0.59,-0.04838709677
2018-03-06,0.58,-0.01694915254
2018-03-07,0.53,-0.08620689655
2018-03-08,0.53,0
2018-03-09,0.49,-0.07547169811
