Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,88.860001,88.860001,88.860001,88.860001,81.828346,0
2017-10-03,89.059998,89.059998,89.059998,89.059998,82.012520,0
2017-10-04,89.180000,89.180000,89.180000,89.180000,82.123032,0
2017-10-05,89.699997,89.699997,89.699997,89.699997,82.601875,0
2017-10-06,89.180000,89.180000,89.180000,89.180000,82.538025,0
2017-10-09,89.019997,89.019997,89.019997,89.019997,82.389938,0
2017-10-10,89.230003,89.230003,89.230003,89.230003,82.584312,0
2017-10-11,89.389999,89.389999,89.389999,89.389999,82.732384,0
2017-10-12,89.250000,89.250000,89.250000,89.250000,82.602821,0
2017-10-13,89.320000,89.320000,89.320000,89.320000,82.667587,0
2017-10-16,89.480003,89.480003,89.480003,89.480003,82.815681,0
2017-10-17,89.540001,89.540001,89.540001,89.540001,82.871208,0
2017-10-18,89.610001,89.610001,89.610001,89.610001,82.935989,0
2017-10-19,89.650002,89.650002,89.650002,89.650002,82.973015,0
2017-10-20,90.110001,90.110001,90.110001,90.110001,83.398758,0
2017-10-23,89.760002,89.760002,89.760002,89.760002,83.074814,0
2017-10-24,89.910004,89.910004,89.910004,89.910004,83.213646,0
2017-10-25,89.489998,89.489998,89.489998,89.489998,82.824936,0
2017-10-26,89.599998,89.599998,89.599998,89.599998,82.926735,0
2017-10-27,90.320000,90.320000,90.320000,90.320000,83.593117,0
2017-10-30,90.040001,90.040001,90.040001,90.040001,83.333969,0
2017-10-31,90.129997,90.129997,90.129997,90.129997,83.417259,0
2017-11-01,90.269997,90.269997,90.269997,90.269997,83.546844,0
2017-11-02,90.300003,90.300003,90.300003,90.300003,83.574600,0
2017-11-03,90.589996,90.589996,90.589996,90.589996,83.843002,0
2017-11-06,90.709999,90.709999,90.709999,90.709999,83.954071,0
2017-11-07,90.699997,90.699997,90.699997,90.699997,83.944801,0
2017-11-08,90.830002,90.830002,90.830002,90.830002,84.065140,0
2017-11-09,90.510002,90.510002,90.510002,90.510002,83.768959,0
2017-11-10,90.459999,90.459999,90.459999,90.459999,83.722687,0
2017-11-13,90.550003,90.550003,90.550003,90.550003,83.805984,0
2017-11-14,90.360001,90.360001,90.360001,90.360001,83.630142,0
2017-11-15,89.879997,89.879997,89.879997,89.879997,83.185875,0
2017-11-16,90.639999,90.639999,90.639999,90.639999,83.889275,0
2017-11-17,90.410004,90.410004,90.410004,90.410004,83.676407,0
2017-11-20,90.529999,90.529999,90.529999,90.529999,83.787483,0
2017-11-21,91.120003,91.120003,91.120003,91.120003,84.333549,0
2017-11-22,91.059998,91.059998,91.059998,91.059998,84.278000,0
2017-11-24,91.250000,91.250000,91.250000,91.250000,84.453835,0
2017-11-27,91.230003,91.230003,91.230003,91.230003,84.435356,0
2017-11-28,92.129997,92.129997,92.129997,92.129997,85.268318,0
2017-11-29,92.110001,92.110001,92.110001,92.110001,85.249786,0
2017-11-30,92.889999,92.889999,92.889999,92.889999,85.971687,0
2017-12-01,92.709999,92.709999,92.709999,92.709999,85.805107,0
2017-12-04,92.610001,92.610001,92.610001,92.610001,85.712563,0
2017-12-05,92.269997,92.269997,92.269997,92.269997,85.397873,0
2017-12-06,92.260002,92.260002,92.260002,92.260002,85.388611,0
2017-12-07,92.550003,92.550003,92.550003,92.550003,85.657043,0
2017-12-08,93.070000,93.070000,93.070000,93.070000,86.138306,0
2017-12-11,93.370003,93.370003,93.370003,93.370003,86.415962,0
2017-12-12,93.519997,93.519997,93.519997,93.519997,86.554779,0
2017-12-13,93.480003,93.480003,93.480003,93.480003,86.517769,0
2017-12-14,93.110001,93.110001,93.110001,93.110001,86.175308,0
2017-12-15,93.470001,93.470001,93.470001,93.470001,86.954926,0
2017-12-18,93.980003,93.980003,93.980003,93.980003,87.429344,0
2017-12-19,93.680000,93.680000,93.680000,93.680000,87.150253,0
2017-12-20,93.610001,93.610001,93.610001,93.610001,87.085152,0
2017-12-21,93.800003,93.800003,93.800003,93.800003,87.261902,0
2017-12-22,93.750000,93.750000,93.750000,93.750000,87.215401,0
2017-12-26,93.660004,93.660004,93.660004,93.660004,87.131668,0
2017-12-27,93.739998,93.739998,93.739998,93.739998,87.206078,0
2017-12-28,93.930000,93.930000,93.930000,93.930000,87.382828,0
2017-12-29,93.449997,93.449997,93.449997,93.449997,86.936295,0
2018-01-02,94.230003,94.230003,94.230003,94.230003,87.661926,0
2018-01-03,94.830002,94.830002,94.830002,94.830002,88.220108,0
2018-01-04,95.230003,95.230003,95.230003,95.230003,88.592239,0
2018-01-05,95.900002,95.900002,95.900002,95.900002,89.215546,0
2018-01-08,96.059998,96.059998,96.059998,96.059998,89.364372,0
2018-01-09,96.220001,96.220001,96.220001,96.220001,89.513229,0
2018-01-10,96.110001,96.110001,96.110001,96.110001,89.410889,0
2018-01-11,96.790001,96.790001,96.790001,96.790001,90.043495,0
2018-01-12,97.449997,97.449997,97.449997,97.449997,90.657486,0
2018-01-16,97.110001,97.110001,97.110001,97.110001,90.341187,0
2018-01-17,98.019997,98.019997,98.019997,98.019997,91.187759,0
2018-01-18,97.870003,97.870003,97.870003,97.870003,91.048225,0
2018-01-19,98.300003,98.300003,98.300003,98.300003,91.448235,0
2018-01-22,99.099998,99.099998,99.099998,99.099998,92.192482,0
2018-01-23,99.320000,99.320000,99.320000,99.320000,92.397156,0
2018-01-24,99.260002,99.260002,99.260002,99.260002,92.341331,0
2018-01-25,99.320000,99.320000,99.320000,99.320000,92.397156,0
2018-01-26,100.500000,100.500000,100.500000,100.500000,93.494888,0
2018-01-29,99.830002,99.830002,99.830002,99.830002,92.871590,0
2018-01-30,98.750000,98.750000,98.750000,98.750000,91.866867,0
2018-01-31,98.800003,98.800003,98.800003,98.800003,91.913391,0
2018-02-01,98.750000,98.750000,98.750000,98.750000,91.866867,0
2018-02-02,96.660004,96.660004,96.660004,96.660004,89.922554,0
2018-02-05,92.699997,92.699997,92.699997,92.699997,86.238579,0
2018-02-06,94.330002,94.330002,94.330002,94.330002,87.754944,0
2018-02-07,93.860001,93.860001,93.860001,93.860001,87.317734,0
2018-02-08,90.349998,90.349998,90.349998,90.349998,84.052383,0
2018-02-09,91.730003,91.730003,91.730003,91.730003,85.336197,0
2018-02-12,93.010002,93.010002,93.010002,93.010002,86.526962,0
2018-02-13,93.260002,93.260002,93.260002,93.260002,86.759552,0
2018-02-14,94.529999,94.529999,94.529999,94.529999,87.941032,0
2018-02-15,95.699997,95.699997,95.699997,95.699997,89.029465,0
2018-02-16,95.739998,95.739998,95.739998,95.739998,89.066689,0
2018-02-20,95.190002,95.190002,95.190002,95.190002,88.555016,0
2018-02-21,94.669998,94.669998,94.669998,94.669998,88.071274,0
2018-02-22,94.769997,94.769997,94.769997,94.769997,88.164291,0
2018-02-23,96.290001,96.290001,96.290001,96.290001,89.578339,0
2018-02-26,97.440002,97.440002,97.440002,97.440002,90.648201,0
2018-02-27,96.209999,96.209999,96.209999,96.209999,89.503922,0
2018-02-28,95.150002,95.150002,95.150002,95.150002,88.517807,0
2018-03-01,93.900002,93.900002,93.900002,93.900002,87.354958,0
2018-03-02,94.389999,94.389999,94.389999,94.389999,87.810783,0
2018-03-05,95.430000,95.430000,95.430000,95.430000,88.778290,0
2018-03-06,95.680000,95.680000,95.680000,95.680000,89.010864,0
2018-03-07,95.639999,95.639999,95.639999,95.639999,88.973671,0
2018-03-08,96.099998,96.099998,96.099998,96.099998,89.401581,0
2018-03-09,97.769997,97.769997,97.769997,97.769997,90.955185,0
2018-03-12,97.650002,97.650002,97.650002,97.650002,90.843544,0
2018-03-13,97.029999,97.029999,97.029999,97.029999,90.266762,0
2018-03-14,96.500000,96.500000,96.500000,96.500000,89.773705,0
2018-03-15,96.430000,96.430000,96.430000,96.430000,89.708588,0
2018-03-16,96.599998,96.599998,96.599998,96.599998,89.866745,0
2018-03-19,95.230003,95.230003,95.230003,95.230003,88.592239,0
2018-03-20,95.370003,95.370003,95.370003,95.370003,88.722488,0
2018-03-21,95.199997,95.199997,95.199997,95.199997,88.564316,0
2018-03-22,92.809998,92.809998,92.809998,92.809998,86.340904,0
2018-03-23,90.870003,90.870003,90.870003,90.870003,84.536133,0
2018-03-26,93.330002,93.330002,93.330002,93.330002,86.824684,0
2018-03-27,91.720001,91.720001,91.720001,91.720001,85.326881,0
2018-03-28,91.470001,91.470001,91.470001,91.470001,85.094307,0
2018-03-29,92.730003,92.730003,92.730003,92.730003,86.266479,0
2018-04-02,90.660004,90.660004,90.660004,90.660004,84.340790,0
2018-04-03,91.809998,91.809998,91.809998,91.809998,85.410606,0
2018-04-04,92.879997,92.879997,92.879997,92.879997,86.406036,0
2018-04-05,93.529999,93.529999,93.529999,93.529999,87.010719,0
2018-04-06,90.989998,90.989998,90.989998,90.989998,85.094490,0
2018-04-09,91.320000,91.320000,91.320000,91.320000,85.403099,0
2018-04-10,92.849998,92.849998,92.849998,92.849998,86.833954,0
2018-04-11,92.339996,92.339996,92.339996,92.339996,86.357018,0
2018-04-12,93.120003,93.120003,93.120003,93.120003,87.086479,0
2018-04-13,92.849998,92.849998,92.849998,92.849998,86.833954,0
2018-04-16,93.610001,93.610001,93.610001,93.610001,87.544731,0
2018-04-17,94.599998,94.599998,94.599998,94.599998,88.470596,0
2018-04-18,94.680000,94.680000,94.680000,94.680000,88.545410,0
2018-04-19,94.150002,94.150002,94.150002,94.150002,88.049744,0
2018-04-20,93.349998,93.349998,93.349998,93.349998,87.301590,0
2018-04-23,93.360001,93.360001,93.360001,93.360001,87.310944,0
2018-04-24,92.110001,92.110001,92.110001,92.110001,86.141930,0
2018-04-25,92.279999,92.279999,92.279999,92.279999,86.300888,0
2018-04-26,93.239998,93.239998,93.239998,93.239998,87.198692,0
2018-04-27,93.349998,93.349998,93.349998,93.349998,87.301590,0
2018-04-30,92.589996,92.589996,92.589996,92.589996,86.590805,0
2018-05-01,92.830002,92.830002,92.830002,92.830002,86.815277,0
2018-05-02,92.160004,92.160004,92.160004,92.160004,86.188683,0
2018-05-03,91.959999,91.959999,91.959999,91.959999,86.001633,0
2018-05-04,93.160004,93.160004,93.160004,93.160004,87.123878,0
2018-05-07,93.480003,93.480003,93.480003,93.480003,87.423157,0
2018-05-08,93.449997,93.449997,93.449997,93.449997,87.395096,0
2018-05-09,94.370003,94.370003,94.370003,94.370003,88.255486,0
2018-05-10,95.279999,95.279999,95.279999,95.279999,89.106514,0
2018-05-11,95.470001,95.470001,95.470001,95.470001,89.284210,0
2018-05-14,95.559998,95.559998,95.559998,95.559998,89.368385,0
2018-05-15,94.910004,94.910004,94.910004,94.910004,88.760498,0
2018-05-16,95.320000,95.320000,95.320000,95.320000,89.143936,0
2018-05-17,95.269997,95.269997,95.269997,95.269997,89.097168,0
2018-05-18,95.029999,95.029999,95.029999,95.029999,88.872734,0
2018-05-21,95.730003,95.730003,95.730003,95.730003,89.527367,0
2018-05-22,95.430000,95.430000,95.430000,95.430000,89.246803,0
2018-05-23,95.739998,95.739998,95.739998,95.739998,89.536728,0
2018-05-24,95.550003,95.550003,95.550003,95.550003,89.359032,0
2018-05-25,95.339996,95.339996,95.339996,95.339996,89.162628,0
2018-05-29,94.239998,94.239998,94.239998,94.239998,88.133904,0
2018-05-30,95.449997,95.449997,95.449997,95.449997,89.265511,0
2018-05-31,94.820000,94.820000,94.820000,94.820000,88.676331,0
2018-06-01,95.860001,95.860001,95.860001,95.860001,89.648949,0
2018-06-04,96.290001,96.290001,96.290001,96.290001,90.051071,0
2018-06-05,96.360001,96.360001,96.360001,96.360001,90.116547,0
2018-06-06,97.190002,97.190002,97.190002,97.190002,90.892776,0
2018-06-07,97.139999,97.139999,97.139999,97.139999,90.846008,0
2018-06-08,97.449997,97.449997,97.449997,97.449997,91.135918,0
2018-06-11,97.550003,97.550003,97.550003,97.550003,91.229454,0
2018-06-12,97.720001,97.720001,97.720001,97.720001,91.388428,0
2018-06-13,97.330002,97.330002,97.330002,97.330002,91.023705,0
2018-06-14,97.599998,97.599998,97.599998,97.599998,91.276215,0
2018-06-15,97.519997,97.519997,97.519997,97.519997,91.201378,0
2018-06-18,97.309998,97.309998,97.309998,97.309998,91.004974,0
2018-06-19,96.919998,96.919998,96.919998,96.919998,90.640266,0
2018-06-20,97.089996,97.089996,97.089996,97.089996,90.799248,0
2018-06-21,96.480003,96.480003,96.480003,96.480003,90.228775,0
2018-06-22,96.660004,96.660004,96.660004,96.660004,90.397118,0
2018-06-25,95.339996,95.339996,95.339996,95.339996,89.162628,0
2018-06-26,95.550003,95.550003,95.550003,95.550003,89.359032,0
2018-06-27,94.730003,94.730003,94.730003,94.730003,88.592171,0
2018-06-28,95.320000,95.320000,95.320000,95.320000,89.143936,0
2018-06-29,95.400002,95.400002,95.400002,95.400002,89.218742,0
2018-07-02,95.699997,95.699997,95.699997,95.699997,89.499306,0
2018-07-03,95.220001,95.220001,95.220001,95.220001,89.050430,0
2018-07-05,96.070000,96.070000,96.070000,96.070000,89.845352,0
2018-07-06,96.440002,96.440002,96.440002,96.440002,90.614868,0
2018-07-09,97.320000,97.320000,97.320000,97.320000,91.441727,0
2018-07-10,97.660004,97.660004,97.660004,97.660004,91.761177,0
2018-07-11,96.970001,96.970001,96.970001,96.970001,91.112846,0
2018-07-12,97.830002,97.830002,97.830002,97.830002,91.920906,0
2018-07-13,97.930000,97.930000,97.930000,97.930000,92.014870,0
2018-07-16,97.839996,97.839996,97.839996,97.839996,91.930290,0
2018-07-17,98.230003,98.230003,98.230003,98.230003,92.296753,0
2018-07-18,98.440002,98.440002,98.440002,98.440002,92.494057,0
2018-07-19,98.059998,98.059998,98.059998,98.059998,92.137009,0
2018-07-20,97.970001,97.970001,97.970001,97.970001,92.052460,0
2018-07-23,98.150002,98.150002,98.150002,98.150002,92.221565,0
2018-07-24,98.620003,98.620003,98.620003,98.620003,92.663216,0
2018-07-25,99.519997,99.519997,99.519997,99.519997,93.508820,0
2018-07-26,99.220001,99.220001,99.220001,99.220001,93.226952,0
2018-07-27,98.570000,98.570000,98.570000,98.570000,92.616219,0
