Date,Open*,High,Low,Close**,Volume,Market Cap
10/30/2021,196.42,197.03,188.02,190.48,2152582091.00,13117910599.00
10/29/2021,189.91,197.90,188.80,196.34,2323635618.00,13520298151.00
10/28/2021,179.33,194.41,178.43,189.98,2629059101.00,13080499930.00
10/27/2021,197.55,204.65,174.11,179.33,3305908613.00,12346310169.00
10/26/2021,195.36,198.98,190.97,197.47,2152699224.00,13593341683.00
10/25/2021,190.57,197.40,189.88,195.30,2117515772.00,13442569877.00
10/24/2021,196.46,199.45,185.72,190.91,1964457059.00,13138607693.00
10/23/2021,190.99,197.45,189.38,196.31,1909421304.00,13508993415.00
10/22/2021,196.95,201.32,188.53,190.82,2250306566.00,13129945471.00
10/21/2021,207.33,214.02,196.40,196.87,2819160222.00,13544567336.00
10/20/2021,188.87,208.83,185.98,206.87,2998361011.00,14231300482.00
10/19/2021,185.62,191.05,183.95,188.94,2468334299.00,12996363879.00
10/18/2021,183.80,187.11,179.23,185.56,2735635061.00,12762357822.00
10/17/2021,186.03,187.80,178.02,183.73,2557228667.00,12635437076.00
10/16/2021,189.50,192.17,185.43,186.19,2812657145.00,12803248120.00
10/15/2021,181.00,192.36,176.95,188.81,3361284929.00,12982379709.00
10/14/2021,177.54,185.92,177.16,180.12,2669021002.00,12383163435.00
10/13/2021,172.66,179.44,168.02,177.63,2648806965.00,12210767605.00
10/12/2021,179.45,179.45,167.44,172.80,3014739916.00,11877400613.00
10/11/2021,175.11,185.08,173.73,179.43,3155773236.00,12331707319.00
10/10/2021,179.78,183.83,174.63,175.32,2933958270.00,12048025335.00
10/9/2021,175.84,182.59,175.06,179.66,3261336754.00,12344932113.00
10/8/2021,178.61,182.86,174.97,175.97,3235639420.00,12090366289.00
10/7/2021,178.68,186.70,173.77,178.77,3653828647.00,12281494110.00
10/6/2021,173.89,182.72,164.39,178.71,3434445937.00,12275698499.00
10/5/2021,167.54,175.23,166.92,173.89,2779608244.00,11943799547.00
10/4/2021,170.60,170.76,162.35,167.54,2809356425.00,11506287371.00
10/3/2021,169.17,174.70,166.11,170.61,3020051826.00,11397285466.00
10/2/2021,166.21,172.63,164.80,169.26,2954252473.00,11304207107.00
10/1/2021,153.29,168.01,151.59,166.13,3075986940.00,11089758626.00
9/30/2021,144.85,154.20,144.17,153.15,2490894083.00,10223028689.00
9/29/2021,140.67,149.66,140.15,144.92,2611872987.00,9673696672.00
9/28/2021,145.22,148.45,140.37,140.60,2716268316.00,9385225435.00
9/27/2021,150.86,154.83,145.28,145.35,2675737537.00,9702463950.00
9/26/2021,151.19,153.41,142.55,150.64,3285914022.00,10055671732.00
9/25/2021,152.23,155.53,149.28,151.18,2780149595.00,10091757112.00
9/24/2021,163.89,165.77,142.44,152.23,3002639992.00,10161866343.00
9/23/2021,161.49,164.52,157.52,163.82,2168287266.00,10935302552.00
9/22/2021,148.24,161.90,145.77,161.41,2470322802.00,10774673085.00
9/21/2021,157.21,162.05,145.47,148.39,2676739911.00,9905412165.00
9/20/2021,175.75,175.91,154.10,156.46,3091999618.00,10444382703.00
9/19/2021,181.25,181.48,173.23,175.74,2265327476.00,11731144963.00
9/18/2021,179.83,184.87,178.51,181.31,2288894200.00,12102841321.00
9/17/2021,185.40,190.09,178.46,179.68,3490133355.00,11994382403.00
9/16/2021,189.03,194.79,181.86,185.54,3890293445.00,12385151701.00
9/15/2021,183.05,191.50,180.04,189.24,2966645617.00,12632225220.00
9/14/2021,179.55,187.59,176.50,183.14,3674072759.00,12225011909.00
9/13/2021,183.24,233.06,171.38,179.48,8716460338.00,11981022615.00
9/12/2021,178.68,185.93,175.57,183.23,2524354411.00,12231380256.00
9/11/2021,174.31,185.78,173.76,178.69,2374798275.00,11927929156.00
9/10/2021,180.45,187.13,171.56,174.30,2640894542.00,11634715749.00
9/9/2021,177.91,188.46,177.24,180.38,2895886861.00,12040622755.00
9/8/2021,178.08,188.20,170.00,179.72,4614459511.00,11997092039.00
9/7/2021,219.52,221.43,165.84,178.11,4888577997.00,11889601198.00
9/6/2021,232.10,232.10,216.67,219.53,3846416196.00,14653919356.00
9/5/2021,211.97,231.96,210.75,231.33,3796951481.00,15442148516.00
9/4/2021,212.96,225.11,208.94,212.36,4290103830.00,14175482517.00
9/3/2021,183.43,217.52,180.11,212.97,5461104943.00,14216035275.00
9/2/2021,180.96,187.89,179.71,183.62,2648327451.00,12256930935.00
9/1/2021,171.47,182.72,169.01,180.97,2807031001.00,12080365345.00
8/31/2021,167.50,175.24,166.14,171.66,2252832552.00,11458702008.00
8/30/2021,174.63,176.10,167.08,167.42,2322318232.00,11176034426.00
8/29/2021,175.53,182.30,173.50,174.70,2336929993.00,11661964188.00
8/28/2021,176.13,177.01,171.78,175.45,2197632103.00,11712018985.00
8/27/2021,167.99,175.98,165.40,175.98,2747733541.00,11747419341.00
8/26/2021,177.89,180.22,166.03,168.09,1967737081.00,11220152876.00
8/25/2021,173.71,178.95,169.92,177.60,1766315141.00,11855479602.00
8/24/2021,187.30,188.33,172.78,173.58,1968635010.00,11586706056.00
