Date,Open*,High,Low,Close**,Volume,Market Cap
10/30/2021,2451.72,2473.91,2355.19,2377.42,100013715,2356807209
10/29/2021,2382.58,2467.24,2369.78,2450.87,119084386,2429615106
10/28/2021,2226.99,2414.94,2216.46,2382.42,110393579,2361760362
10/27/2021,2461.94,2502.76,2212.83,2227.94,158137132,2208622416
10/26/2021,2473.96,2554.51,2443.19,2461.95,158945762,2440599304
10/25/2021,2440.06,2481.84,2429.66,2474.1,101997441,2452643253
10/24/2021,2528.25,2532.9,2386.08,2440.21,99796302,2419052179
10/23/2021,2520.52,2546.36,2496.64,2527.55,85183922,2505634983
10/22/2021,2570.61,2621.68,2499.52,2519.69,101137408,2497842464
10/21/2021,2595.06,2703.86,2548.94,2570.63,145832428,2548340235
10/20/2021,2493.1,2596.58,2463.65,2593.23,115238022,2570742461
10/19/2021,2508.25,2522.92,2456.69,2494.57,102712611,2472937431
10/18/2021,2550.86,2575.72,2440.18,2507.49,103475640,2485745280
10/17/2021,2595.2,2635.11,2487.45,2550.84,88966792,2528723178
10/16/2021,2564.87,2674.34,2557.92,2594.5,107620468,2571997800
10/15/2021,2543.04,2594.84,2477.07,2564.86,113081741,2542614054
10/14/2021,2492.31,2610.63,2482.23,2539.5,114749601,2517478621
10/13/2021,2441.39,2492.38,2373.66,2492.38,99436938,2470764952
10/12/2021,2449.29,2499.06,2360.6,2442.03,129513681,2420856345
10/11/2021,2460.78,2556.74,2398.55,2449.78,100299677,2428538003
10/10/2021,2572.22,2717.59,2445.91,2464.98,156837523,2443603552
10/9/2021,2494.74,2591.35,2472.53,2571.65,105868743,2549349639
10/8/2021,2500.9,2570.76,2461.37,2497.71,104183785,2476047016
10/7/2021,2489.82,2534.05,2420.9,2500,104059555,2478323729
10/6/2021,2546.73,2584.53,2391.04,2491.79,113928359,2470181322
10/5/2021,2543.5,2588.79,2487.37,2544.34,113047900,2522272530
10/4/2021,2540.41,2551.45,2384.05,2535.3,122745705,2513313981
10/3/2021,2481.36,2602.32,2440.76,2542.17,109299845,2520122847
