,,LTC
Date,close,daily_return
2/4/2019,34.11,
2/5/2019,34.26,0.004397537
2/6/2019,32.93,-0.038820782
2/7/2019,33.22,0.008806559
2/8/2019,43.46,0.308248043
2/9/2019,44.79,0.030602853
2/10/2019,46.83,0.045545881
2/11/2019,43.18,-0.07794149
2/12/2019,43.93,0.017369152
2/13/2019,42,-0.043933531
2/14/2019,41.64,-0.008571429
2/15/2019,42.7,0.025456292
2/16/2019,43.59,0.020843091
2/17/2019,43.93,0.007799954
2/18/2019,48.04,0.093557933
2/19/2019,47.86,-0.003746878
2/20/2019,51.79,0.082114501
2/21/2019,49.15,-0.050975092
2/22/2019,49.81,0.013428281
2/23/2019,51.68,0.037542662
2/24/2019,44.68,-0.135448916
2/25/2019,46.21,0.034243509
2/26/2019,45.49,-0.015581043
2/27/2019,45.58,0.001978457
2/28/2019,46.24,0.014480035
3/1/2019,47.49,0.027032872
3/2/2019,49.02,0.032217309
3/3/2019,48.38,-0.013055896
3/4/2019,46.43,-0.040305912
3/5/2019,53.13,0.144303252
3/6/2019,55.78,0.049877659
3/7/2019,57.19,0.025277877
3/8/2019,56.1,-0.019059276
3/9/2019,58.09,0.035472371
3/10/2019,57.18,-0.015665347
3/11/2019,55.42,-0.030779993
3/12/2019,57,0.028509563
3/13/2019,55.93,-0.01877193
3/14/2019,56.58,0.01162167
3/15/2019,58.99,0.042594556
3/16/2019,61.84,0.048313273
3/17/2019,61.24,-0.009702458
3/18/2019,60.26,-0.016002613
3/19/2019,60.62,0.005974112
3/20/2019,60.85,0.003794127
3/21/2019,59.38,-0.024157765
3/22/2019,59.82,0.007409902
3/23/2019,61.35,0.02557673
3/24/2019,60.22,-0.018418908
3/25/2019,59.5,-0.011956161
3/26/2019,59.34,-0.002689076
3/27/2019,62.25,0.049039434
3/28/2019,61.17,-0.017349398
3/29/2019,61.3,0.002125225
3/30/2019,60.62,-0.011092985
3/31/2019,60.76,0.002309469
4/1/2019,60.68,-0.001316656
4/2/2019,76.19,0.255603164
4/3/2019,84.92,0.114581966
4/4/2019,84.98,0.000706547
4/5/2019,88.68,0.043539656
4/6/2019,92.57,0.043865584
4/7/2019,92.31,-0.002808685
4/8/2019,89.49,-0.030549236
4/9/2019,86.79,-0.030170969
4/10/2019,88.38,0.018320083
4/11/2019,79.68,-0.098438561
4/12/2019,78.96,-0.009036145
4/13/2019,78.22,-0.009371834
4/14/2019,82.94,0.060342623
4/15/2019,79.05,-0.046901374
4/16/2019,81.35,0.029095509
4/17/2019,79.33,-0.024830977
4/18/2019,82.07,0.034539266
4/19/2019,82.57,0.00609236
4/20/2019,81.51,-0.012837592
4/21/2019,77.33,-0.051282051
4/22/2019,76.95,-0.004914005
4/23/2019,74.85,-0.027290448
4/24/2019,73.31,-0.020574482
4/25/2019,71.25,-0.02809985
4/26/2019,73.12,0.026245614
4/27/2019,72.12,-0.013676149
4/28/2019,69.73,-0.033139212
4/29/2019,67.96,-0.025383623
4/30/2019,74.28,0.09299588
5/1/2019,73.66,-0.008346796
5/2/2019,73.78,0.001629107
5/3/2019,79.33,0.075223638
5/4/2019,78.06,-0.016009076
5/5/2019,75.98,-0.02664617
5/6/2019,74.98,-0.013161358
5/7/2019,74.69,-0.003867698
5/8/2019,74.62,-0.000937207
5/9/2019,74.18,-0.005896542
5/10/2019,77.17,0.04030736
5/11/2019,89.22,0.156148762
5/12/2019,84.57,-0.052118359
5/13/2019,88.06,0.041267589
5/14/2019,91.62,0.040426982
5/15/2019,101.74,0.110456232
5/16/2019,95.59,-0.060448201
5/17/2019,89,-0.068940266
5/18/2019,86.7,-0.025842697
5/19/2019,95.32,0.099423299
5/20/2019,91.49,-0.040180445
5/21/2019,91.51,0.000218603
5/22/2019,88.21,-0.036061633
5/23/2019,89.18,0.010996486
5/24/2019,99.9,0.120206324
5/25/2019,102.67,0.027727728
5/26/2019,111.42,0.085224506
5/27/2019,118.03,0.059325076
5/28/2019,114.93,-0.026264509
5/29/2019,115.08,0.001305142
5/30/2019,108.8,-0.054570733
5/31/2019,114.54,0.052757353
6/1/2019,112.62,-0.016762703
6/2/2019,114.7,0.018469188
6/3/2019,107.47,-0.063034002
6/4/2019,102.09,-0.050060482
6/5/2019,103.85,0.01723969
6/6/2019,111.11,0.069908522
6/7/2019,117.37,0.056340563
6/8/2019,118.55,0.010053676
6/9/2019,115.13,-0.028848587
6/10/2019,129.07,0.121080518
6/11/2019,136.03,0.053924227
6/12/2019,135.65,-0.002793501
6/13/2019,131.35,-0.031699226
6/14/2019,133.05,0.01294252
6/15/2019,138.13,0.038181135
6/16/2019,137.12,-0.007311953
6/17/2019,134.44,-0.019544924
6/18/2019,135.16,0.005355549
6/19/2019,136.6,0.01065404
6/20/2019,135.48,-0.008199122
6/21/2019,138.88,0.025095955
6/22/2019,141.9,0.021745392
6/23/2019,136.88,-0.035377026
6/24/2019,135.53,-0.009862653
6/25/2019,136.49,0.007083303
6/26/2019,131.27,-0.03824456
6/27/2019,114.4,-0.12851375
6/28/2019,120.15,0.050262238
6/29/2019,133.66,0.11244278
6/30/2019,122.25,-0.085365854
7/1/2019,122.58,0.002699387
7/2/2019,119.24,-0.027247512
7/3/2019,122.56,0.027843006
7/4/2019,119.98,-0.021050914
7/5/2019,118.35,-0.013585598
7/6/2019,117.82,-0.004478243
7/7/2019,120.32,0.021218808
7/8/2019,123.29,0.024684176
7/9/2019,119.43,-0.031308298
7/10/2019,108.5,-0.091518044
7/11/2019,102.64,-0.054009217
7/12/2019,105.3,0.025915822
7/13/2019,101.02,-0.040645774
7/14/2019,89.77,-0.111364086
7/15/2019,90.92,0.012810516
7/16/2019,79.5,-0.125604927
7/17/2019,89.81,0.129685535
7/18/2019,101.09,0.125598486
7/19/2019,98.4,-0.026609952
7/20/2019,100.61,0.02245935
7/21/2019,99.63,-0.009740582
7/22/2019,95.42,-0.042256348
7/23/2019,90.62,-0.05030392
7/24/2019,94.31,0.040719488
7/25/2019,93.45,-0.009118863
7/26/2019,94.31,0.009202782
7/27/2019,88.89,-0.057470046
7/28/2019,89.77,0.009899876
7/29/2019,90.43,0.007352122
7/30/2019,90.57,0.001548159
7/31/2019,98.51,0.087666998
8/1/2019,99.18,0.00680134
8/2/2019,94.94,-0.042750555
8/3/2019,94.58,-0.003791869
8/4/2019,93.2,-0.014590823
8/5/2019,96.83,0.038948498
8/6/2019,93.07,-0.038830941
8/7/2019,90.91,-0.023208338
8/8/2019,90.03,-0.009679903
8/9/2019,84.44,-0.062090414
8/10/2019,85.42,0.011605874
8/11/2019,89.75,0.050690705
8/12/2019,85.75,-0.044568245
8/13/2019,84.41,-0.015626822
8/14/2019,76.06,-0.098921929
8/15/2019,76.39,0.00433868
8/16/2019,74.92,-0.019243356
8/17/2019,72.8,-0.02829685
8/18/2019,76.27,0.047664835
8/19/2019,77.26,0.012980202
8/20/2019,75.2,-0.026663215
8/21/2019,72.96,-0.029787234
8/22/2019,73.6,0.00877193
8/23/2019,75.4,0.024456522
8/24/2019,73.46,-0.025729443
8/25/2019,72.31,-0.015654778
8/26/2019,73.86,0.021435486
8/27/2019,72.84,-0.013809911
8/28/2019,67.43,-0.074272378
8/29/2019,64.1,-0.049384547
8/30/2019,64.33,0.003588144
8/31/2019,64.58,0.003886212
9/1/2019,66.14,0.024156085
9/2/2019,66.94,0.012095555
9/3/2019,69.13,0.032715865
9/4/2019,67.29,-0.02661652
9/5/2019,65.4,-0.028087383
9/6/2019,65.23,-0.002599388
9/7/2019,69.04,0.058408708
9/8/2019,70.55,0.021871379
9/9/2019,70.19,-0.005102764
9/10/2019,70.82,0.008975638
9/11/2019,69.92,-0.012708274
9/12/2019,69.23,-0.009868421
9/13/2019,68.99,-0.003466705
9/14/2019,70.56,0.022756921
9/15/2019,70.32,-0.003401361
9/16/2019,72.57,0.031996587
9/17/2019,74.22,0.022736668
9/18/2019,77.97,0.050525465
9/19/2019,77.06,-0.011671156
9/20/2019,75.15,-0.024785881
9/21/2019,73.52,-0.021689953
9/22/2019,72.62,-0.012241567
9/23/2019,66.85,-0.079454696
9/24/2019,55.82,-0.16499626
9/25/2019,57.66,0.032963096
9/26/2019,55.54,-0.036767256
9/27/2019,56.36,0.014764134
9/28/2019,55.68,-0.012065295
9/29/2019,54.32,-0.024425287
9/30/2019,56.06,0.032032401
10/1/2019,56.06,0
10/2/2019,56.51,0.008027114
10/3/2019,56.55,0.000707839
10/4/2019,56.85,0.00530504
10/5/2019,56.84,-0.000175901
10/6/2019,55.41,-0.025158339
10/7/2019,57.79,0.042952536
10/8/2019,57.4,-0.006748572
10/9/2019,59.43,0.035365854
10/10/2019,57.78,-0.027763756
10/11/2019,56.3,-0.025614399
10/12/2019,55.98,-0.005683837
10/13/2019,56.71,0.013040372
10/14/2019,56.98,0.004761065
10/15/2019,54.94,-0.035802036
10/16/2019,52.92,-0.036767383
10/17/2019,54.88,0.037037037
10/18/2019,53.49,-0.025327988
10/19/2019,54.03,0.010095345
10/20/2019,54.93,0.016657413
10/21/2019,54.94,0.00018205
10/22/2019,53.74,-0.021842009
10/23/2019,49.63,-0.076479345
10/24/2019,50.07,0.008865605
10/25/2019,56.94,0.137207909
10/26/2019,56.78,-0.002809975
10/27/2019,59.91,0.055125044
10/28/2019,58.13,-0.029711234
10/29/2019,59.87,0.029932909
10/30/2019,58.42,-0.024219141
10/31/2019,58.78,0.006162273
11/1/2019,58.58,-0.003402518
11/2/2019,58.6,0.000341413
11/3/2019,58.63,0.000511945
11/4/2019,61.57,0.050144977
11/5/2019,63.3,0.0280981
11/6/2019,64.27,0.015323855
11/7/2019,61.84,-0.037809242
11/8/2019,60.53,-0.0211837
11/9/2019,61.95,0.023459442
11/10/2019,63.84,0.030508475
11/11/2019,61.9,-0.030388471
11/12/2019,61.34,-0.00904685
11/13/2019,61.11,-0.003749592
11/14/2019,59.43,-0.027491409
11/15/2019,57.81,-0.02725896
11/16/2019,58.57,0.013146514
11/17/2019,59.57,0.017073587
11/18/2019,56.8,-0.046499916
11/19/2019,55.62,-0.020774648
11/20/2019,55.29,-0.005933118
11/21/2019,50.88,-0.079761259
11/22/2019,47.62,-0.064072327
11/23/2019,48.71,0.022889542
11/24/2019,44.73,-0.081708068
11/25/2019,45.83,0.024591996
11/26/2019,47.27,0.031420467
11/27/2019,48.01,0.015654749
11/28/2019,47.06,-0.019787544
11/29/2019,48.88,0.038674033
11/30/2019,47.48,-0.028641571
12/1/2019,47.71,0.004844145
12/2/2019,45.82,-0.039614337
12/3/2019,45.38,-0.009602794
12/4/2019,45.19,-0.004186866
12/5/2019,45.3,0.002434167
12/6/2019,45.67,0.00816777
12/7/2019,45.64,-0.000656886
12/8/2019,45.95,0.006792287
12/9/2019,44.94,-0.021980413
12/10/2019,44.64,-0.006675567
12/11/2019,43.95,-0.015456989
12/12/2019,44.08,0.002957907
12/13/2019,44.45,0.008393829
12/14/2019,43.72,-0.016422947
12/15/2019,43.76,0.000914913
12/16/2019,40.37,-0.077468007
12/17/2019,37.08,-0.081496161
12/18/2019,40.78,0.09978425
12/19/2019,39.92,-0.021088769
12/20/2019,40.29,0.009268537
12/21/2019,40,-0.007197816
12/22/2019,41.97,0.04925
12/23/2019,40.85,-0.026685728
12/24/2019,40.68,-0.004161567
12/25/2019,40.63,-0.001229105
12/26/2019,40.27,-0.008860448
12/27/2019,41.18,0.022597467
12/28/2019,42.84,0.040310831
12/29/2019,43.67,0.019374416
12/30/2019,42.75,-0.021067094
12/31/2019,41.34,-0.032982456
1/1/2020,42.02,0.01644896
1/2/2020,39.82,-0.052356021
1/3/2020,42.42,0.065293822
1/4/2020,43.33,0.021452145
1/5/2020,43.55,0.005077314
1/6/2020,45.82,0.052123995
1/7/2020,46.42,0.013094718
1/8/2020,45.65,-0.016587678
1/9/2020,45.22,-0.009419496
1/10/2020,48.73,0.077620522
1/11/2020,49.26,0.010876257
1/12/2020,51.08,0.036946813
1/13/2020,49.73,-0.026429131
1/14/2020,58.48,0.175950131
1/15/2020,58.05,-0.007352941
1/16/2020,57.62,-0.007407407
1/17/2020,61.49,0.067164179
1/18/2020,59.41,-0.033826638
1/19/2020,57.8,-0.027099815
1/20/2020,57.2,-0.010380623
1/21/2020,57.65,0.007867133
1/22/2020,58.35,0.012142238
1/23/2020,54.63,-0.063753213
1/24/2020,54.53,-0.001830496
1/25/2020,53.7,-0.015220979
1/26/2020,56.21,0.046741155
1/27/2020,58.76,0.045365593
1/28/2020,60.67,0.032505106
1/29/2020,60.08,-0.00972474
1/30/2020,68.16,0.13448735
1/31/2020,67.88,-0.004107981
2/1/2020,70.82,0.043311727
2/2/2020,70.23,-0.00833098
2/3/2020,69.78,-0.006407518
2/4/2020,68.2,-0.022642591
2/5/2020,72.49,0.062903226
2/6/2020,73.39,0.012415506
2/7/2020,74.36,0.01321706
2/8/2020,76.47,0.028375471
2/9/2020,77.09,0.008107755
2/10/2020,74.34,-0.03567259
2/11/2020,76.6,0.030400861
2/12/2020,81.3,0.061357702
2/13/2020,80.4,-0.011070111
2/14/2020,82.99,0.03221393
2/15/2020,76.51,-0.078081697
2/16/2020,75.15,-0.017775454
2/17/2020,73.25,-0.025282768
2/18/2020,77.04,0.051740614
2/19/2020,71.14,-0.076583593
2/20/2020,69.62,-0.02136632
2/21/2020,73.45,0.055012927
2/22/2020,75.13,0.022872703
2/23/2020,79.54,0.058698256
2/24/2020,75.54,-0.050289163
2/25/2020,71.18,-0.057717765
2/26/2020,61.01,-0.142877213
2/27/2020,61.51,0.008195378
2/28/2020,59.76,-0.028450658
2/29/2020,58.54,-0.020414993
3/1/2020,57.96,-0.009907755
3/2/2020,61,0.052449965
3/3/2020,61.14,0.002295082
3/4/2020,60.38,-0.012430487
3/5/2020,62.05,0.027658165
3/6/2020,63.03,0.015793715
3/7/2020,60.55,-0.039346343
3/8/2020,51.73,-0.14566474
3/9/2020,50.17,-0.030156582
3/10/2020,50.26,0.001793901
3/11/2020,48.46,-0.035813768
3/12/2020,30.93,-0.361741643
3/13/2020,37.44,0.210475267
3/14/2020,34.4,-0.081196581
3/15/2020,36.44,0.059302326
3/16/2020,32.88,-0.097694841
3/17/2020,33.56,0.020681265
3/18/2020,33.68,0.003575685
3/19/2020,39.07,0.160035629
3/20/2020,38.13,-0.024059381
3/21/2020,38.34,0.005507474
3/22/2020,35.63,-0.070683359
3/23/2020,38.77,0.088127982
3/24/2020,40.49,0.044364199
3/25/2020,39.15,-0.033094591
3/26/2020,40.16,0.025798212
3/27/2020,38.92,-0.030876494
3/28/2020,38.87,-0.001284687
3/29/2020,37.33,-0.039619244
3/30/2020,39.14,0.048486472
3/31/2020,39.3,0.00408789
4/1/2020,39.38,0.002035623
4/2/2020,39.87,0.012442864
4/3/2020,40.36,0.012289942
4/4/2020,40.68,0.007928642
4/5/2020,40.67,-0.000245821
4/6/2020,44.39,0.091467912
4/7/2020,44.67,0.006307727
4/8/2020,46.32,0.036937542
4/9/2020,46.38,0.001295337
4/10/2020,42.27,-0.088615783
4/11/2020,42.32,0.001182872
4/12/2020,42.45,0.003071834
4/13/2020,41.2,-0.029446408
4/14/2020,41.05,-0.003640777
4/15/2020,39.59,-0.035566382
4/16/2020,42.69,0.078302602
4/17/2020,42.75,0.001405481
4/18/2020,44.36,0.037660819
4/19/2020,42.63,-0.038999098
4/20/2020,40.83,-0.042223786
4/21/2020,41.04,0.005143277
4/22/2020,41.89,0.020711501
4/23/2020,42.94,0.025065648
4/24/2020,44.81,0.043549138
4/25/2020,44.71,-0.002231645
4/26/2020,44.69,-0.000447327
4/27/2020,44.71,0.000447527
4/28/2020,46.03,0.029523597
4/29/2020,49.18,0.06843363
4/30/2020,46.71,-0.050223668
5/1/2020,47.79,0.023121387
5/2/2020,49.46,0.034944549
5/3/2020,48.27,-0.024059846
5/4/2020,47.47,-0.016573441
5/5/2020,46.79,-0.014324837
5/6/2020,45.94,-0.018166275
5/7/2020,47.33,0.030256857
5/8/2020,47.88,0.011620537
5/9/2020,47.27,-0.012740184
5/10/2020,42.37,-0.103659827
5/11/2020,41.7,-0.015813075
5/12/2020,42.11,0.009832134
5/13/2020,43.13,0.024222275
5/14/2020,43.95,0.019012288
5/15/2020,42.83,-0.025483504
5/16/2020,43.21,0.008872286
5/17/2020,43.64,0.0099514
5/18/2020,45.2,0.035747021
5/19/2020,45.38,0.003982301
5/20/2020,44.17,-0.026663729
5/21/2020,42.74,-0.032374915
5/22/2020,44.21,0.03439401
5/23/2020,44.03,-0.004071477
5/24/2020,42.45,-0.035884624
5/25/2020,42.95,0.011778563
5/26/2020,42.43,-0.012107101
5/27/2020,43.86,0.033702569
5/28/2020,44.76,0.020519836
5/29/2020,44.65,-0.002457551
5/30/2020,47.54,0.064725644
5/31/2020,45.59,-0.04101809
6/1/2020,48.13,0.055713972
6/2/2020,45.92,-0.045917307
6/3/2020,47.17,0.027221254
6/4/2020,47.64,0.00996396
6/5/2020,47.05,-0.012384551
6/6/2020,46.73,-0.006801275
6/7/2020,46.67,-0.001283972
6/8/2020,46.47,-0.004285408
6/9/2020,46.07,-0.008607704
